Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 190.2356906849891
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.233, 'num': 30},
 'Agriculture': {'acc': 0.433, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.2, 'num': 30},
 'Art': {'acc': 0.467, 'num': 30},
 'Art_Theory': {'acc': 0.333, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.367, 'num': 30},
 'Biology': {'acc': 0.367, 'num': 30},
 'Chemistry': {'acc': 0.267, 'num': 30},
 'Clinical_Medicine': {'acc': 0.233, 'num': 30},
 'Computer_Science': {'acc': 0.133, 'num': 30},
 'Design': {'acc': 0.533, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.167, 'num': 30},
 'Economics': {'acc': 0.4, 'num': 30},
 'Electronics': {'acc': 0.2, 'num': 30},
 'Energy_and_Power': {'acc': 0.3, 'num': 30},
 'Finance': {'acc': 0.267, 'num': 30},
 'Geography': {'acc': 0.3, 'num': 30},
 'History': {'acc': 0.4, 'num': 30},
 'Literature': {'acc': 0.633, 'num': 30},
 'Manage': {'acc': 0.4, 'num': 30},
 'Marketing': {'acc': 0.367, 'num': 30},
 'Materials': {'acc': 0.367, 'num': 30},
 'Math': {'acc': 0.367, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.133, 'num': 30},
 'Music': {'acc': 0.4, 'num': 30},
 'Overall': {'acc': 0.332, 'num': 900},
 'Overall-Art and Design': {'acc': 0.433, 'num': 120},
 'Overall-Business': {'acc': 0.333, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.307, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.442, 'num': 120},
 'Overall-Science': {'acc': 0.3, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.252, 'num': 210},
 'Pharmacy': {'acc': 0.367, 'num': 30},
 'Physics': {'acc': 0.2, 'num': 30},
 'Psychology': {'acc': 0.267, 'num': 30},
 'Public_Health': {'acc': 0.4, 'num': 30},
 'Sociology': {'acc': 0.467, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.332

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 380/380 [00:00<00:00, 19207.23 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:20<00:48,  1.95s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1283.68 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5436.79 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 26694.52 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1012.14 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7453.45 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 16728.35 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:20<00:24,  1.08s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1605.54 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12434.94 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 32659.16 examples/s]

Loading datasets:  27%|██▋       | 8/30 [00:21<00:20,  1.06it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1153.61 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8871.83 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 38794.66 examples/s]

Loading datasets:  30%|███       | 9/30 [00:21<00:18,  1.14it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 653.16 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2922.11 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1933.93 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11912.25 examples/s]



Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A[A



Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1744.57 examples/s]




Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10993.28 examples/s]




Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A[A[A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 16720.93 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:22<00:13,  1.48it/s]
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 15640.30 examples/s]


Generating test split: 100%|██████████| 278/278 [00:00<00:00, 2597.23 examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 2588.09 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1181.89 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10656.26 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 28295.50 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:23<00:08,  2.06it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2276.54 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 14960.07 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 47834.54 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1277.50 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2081.64 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 2921.15 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:23<00:05,  2.77it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 785.77 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1355.68 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1245.34 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3538.20 examples/s]



Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 3512.49 examples/s]


Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 751.88 examples/s][A
Loading datasets:  53%|█████▎    | 16/30 [00:23<00:05,  2.41it/s]
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1273.80 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 953.51 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8023.79 examples/s]


Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 35812.62 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:24<00:04,  2.74it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1129.81 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7131.96 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 19514.41 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:25<00:05,  1.88it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1347.87 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3533.43 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3361.77 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:26<00:05,  1.91it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1591.16 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9041.40 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 14431.23 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:26<00:04,  2.13it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 907.50 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6500.45 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 6691.38 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:27<00:04,  1.96it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1466.03 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 903.59 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3468.66 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1143.16 examples/s]



Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 4223.61 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:27<00:02,  2.48it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 830.88 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2015.46 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A


Generating test split:  64%|██████▎   | 103/162 [00:00<00:00, 977.45 examples/s][A[A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1251.72 examples/s]

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2572.71 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:27<00:01,  3.92it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 656.16 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1646.59 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 2264.91 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:28<00:01,  2.62it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1278.44 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5591.66 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 6179.06 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:28<00:00,  3.10it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1060.56 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9524.57 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 22354.14 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:30<00:01,  1.25it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 636.06 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1318.02 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1472.89 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1438.00 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1409.13 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:39<00:03,  3.02s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 203.81 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 211.25 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 204.45 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 578.16 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 561.19 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 689.78 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 635.56 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:40<00:00,  2.56s/it]
Loading datasets: 100%|██████████| 30/30 [00:40<00:00,  1.35s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2765.29it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2764.50it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:28<6:59:52, 28.02s/it]
  0%|          | 3/900 [00:28<1:52:29,  7.52s/it]
  0%|          | 4/900 [00:29<1:19:54,  5.35s/it]
  1%|          | 5/900 [00:30<56:43,  3.80s/it]  
  1%|          | 6/900 [00:31<41:29,  2.79s/it]
  1%|          | 7/900 [00:32<36:18,  2.44s/it]
  1%|          | 8/900 [00:33<26:54,  1.81s/it]
  1%|          | 9/900 [00:33<20:29,  1.38s/it]
  1%|          | 10/900 [00:34<19:20,  1.30s/it]
  3%|▎         | 26/900 [00:35<02:31,  5.77it/s]
  5%|▌         | 46/900 [00:35<01:15, 11.24it/s]
 14%|█▍        | 129/900 [00:46<01:33,  8.21it/s]
 14%|█▍        | 130/900 [00:47<01:45,  7.29it/s]
 15%|█▍        | 133/900 [00:51<02:31,  5.07it/s]
 15%|█▌        | 135/900 [00:52<02:44,  4.64it/s]
 15%|█▌        | 137/900 [00:53<02:53,  4.39it/s]
 15%|█▌        | 138/900 [00:53<02:53,  4.39it/s]
 15%|█▌        | 139/900 [00:54<03:02,  4.17it/s]
 16%|█▌        | 140/900 [00:54<03:30,  3.61it/s]
 16%|█▌        | 141/900 [00:55<03:54,  3.24it/s]
 16%|█▌        | 142/900 [00:56<04:13,  2.99it/s]
 16%|█▌        | 144/900 [00:56<03:57,  3.18it/s]
 16%|█▌        | 145/900 [00:56<03:41,  3.41it/s]
 16%|█▌        | 146/900 [00:57<03:44,  3.36it/s]
 16%|█▋        | 148/900 [00:57<02:53,  4.34it/s]
 17%|█▋        | 149/900 [00:58<06:02,  2.07it/s]
 17%|█▋        | 150/900 [00:59<07:23,  1.69it/s]
 17%|█▋        | 151/900 [00:59<06:08,  2.03it/s]
 17%|█▋        | 152/900 [01:00<06:37,  1.88it/s]
 17%|█▋        | 153/900 [01:01<06:31,  1.91it/s]
 17%|█▋        | 154/900 [01:01<05:23,  2.31it/s]
 19%|█▉        | 170/900 [01:01<00:49, 14.66it/s]
 21%|██        | 190/900 [01:01<00:24, 28.49it/s]
 29%|██▊       | 257/900 [01:10<01:07,  9.58it/s]
 29%|██▉       | 261/900 [01:14<01:44,  6.12it/s]
 29%|██▉       | 264/900 [01:16<01:56,  5.47it/s]
 30%|██▉       | 266/900 [01:16<02:00,  5.24it/s]
 30%|██▉       | 268/900 [01:17<02:04,  5.07it/s]
 30%|███       | 270/900 [01:17<02:07,  4.92it/s]
 30%|███       | 271/900 [01:18<02:22,  4.42it/s]
 30%|███       | 272/900 [01:18<02:20,  4.46it/s]
 30%|███       | 273/900 [01:19<03:10,  3.30it/s]
 31%|███       | 275/900 [01:20<03:05,  3.37it/s]
 31%|███       | 276/900 [01:20<03:19,  3.13it/s]
 31%|███       | 279/900 [01:21<03:32,  2.92it/s]
 31%|███       | 280/900 [01:22<03:36,  2.86it/s]
 31%|███       | 281/900 [01:22<03:27,  2.99it/s]
 31%|███▏      | 282/900 [01:23<03:59,  2.58it/s]
 31%|███▏      | 283/900 [01:23<03:31,  2.92it/s]
 32%|███▏      | 284/900 [01:23<03:44,  2.75it/s]
 32%|███▏      | 285/900 [01:23<03:29,  2.94it/s]
 32%|███▏      | 286/900 [01:24<04:04,  2.51it/s]
 32%|███▏      | 288/900 [01:25<03:35,  2.84it/s]
 32%|███▏      | 289/900 [01:25<03:45,  2.71it/s]
 32%|███▏      | 290/900 [01:25<03:34,  2.85it/s]
 32%|███▏      | 291/900 [01:26<05:11,  1.95it/s]
 33%|███▎      | 296/900 [01:26<01:58,  5.11it/s]
 34%|███▍      | 308/900 [01:27<01:03,  9.31it/s]
 43%|████▎     | 385/900 [01:38<01:10,  7.35it/s]
 43%|████▎     | 386/900 [01:39<01:19,  6.50it/s]
 43%|████▎     | 388/900 [01:41<01:28,  5.79it/s]
 43%|████▎     | 389/900 [01:42<01:51,  4.58it/s]
 43%|████▎     | 390/900 [01:43<01:59,  4.26it/s]
 43%|████▎     | 391/900 [01:43<01:58,  4.29it/s]
 44%|████▎     | 392/900 [01:44<02:13,  3.82it/s]
 44%|████▎     | 393/900 [01:45<02:48,  3.02it/s]
 44%|████▍     | 394/900 [01:45<02:42,  3.12it/s]
 44%|████▍     | 395/900 [01:45<02:36,  3.22it/s]
 44%|████▍     | 396/900 [01:46<02:56,  2.85it/s]
 44%|████▍     | 397/900 [01:46<02:37,  3.20it/s]
 44%|████▍     | 398/900 [01:47<03:56,  2.12it/s]
 44%|████▍     | 399/900 [01:47<03:43,  2.24it/s]
 44%|████▍     | 400/900 [01:48<03:34,  2.33it/s]
 45%|████▍     | 401/900 [01:48<03:18,  2.51it/s]
 45%|████▍     | 402/900 [01:48<02:53,  2.88it/s]
 45%|████▍     | 403/900 [01:49<04:38,  1.78it/s]
 45%|████▌     | 405/900 [01:50<03:23,  2.43it/s]
 45%|████▌     | 406/900 [01:50<03:30,  2.35it/s]
 45%|████▌     | 409/900 [01:51<02:22,  3.44it/s]
 46%|████▌     | 410/900 [01:51<03:04,  2.66it/s]
 46%|████▌     | 411/900 [01:52<03:05,  2.63it/s]
 46%|████▌     | 412/900 [01:52<02:53,  2.80it/s]
 46%|████▌     | 413/900 [01:53<03:17,  2.47it/s]
 46%|████▌     | 414/900 [01:53<02:52,  2.81it/s]
 46%|████▌     | 415/900 [01:53<02:46,  2.91it/s]
 46%|████▌     | 416/900 [01:53<02:33,  3.15it/s]
 47%|████▋     | 419/900 [01:54<01:29,  5.35it/s]
 47%|████▋     | 420/900 [01:55<03:21,  2.38it/s]
 47%|████▋     | 422/900 [01:55<02:43,  2.92it/s]
 47%|████▋     | 424/900 [01:56<02:18,  3.43it/s]
 47%|████▋     | 425/900 [01:56<02:11,  3.62it/s]
 47%|████▋     | 426/900 [01:56<02:07,  3.73it/s]
 47%|████▋     | 427/900 [01:57<03:29,  2.26it/s]
 48%|████▊     | 428/900 [01:58<03:17,  2.39it/s]
 48%|████▊     | 429/900 [01:58<03:37,  2.16it/s]
 48%|████▊     | 430/900 [01:59<03:25,  2.29it/s]
 48%|████▊     | 431/900 [01:59<03:31,  2.22it/s]
 48%|████▊     | 432/900 [01:59<03:21,  2.32it/s]
