Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 191.959960113978
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.433, 'num': 30},
 'Agriculture': {'acc': 0.3, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.067, 'num': 30},
 'Art': {'acc': 0.5, 'num': 30},
 'Art_Theory': {'acc': 0.4, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.5, 'num': 30},
 'Biology': {'acc': 0.2, 'num': 30},
 'Chemistry': {'acc': 0.167, 'num': 30},
 'Clinical_Medicine': {'acc': 0.1, 'num': 30},
 'Computer_Science': {'acc': 0.267, 'num': 30},
 'Design': {'acc': 0.567, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.267, 'num': 30},
 'Economics': {'acc': 0.433, 'num': 30},
 'Electronics': {'acc': 0.2, 'num': 30},
 'Energy_and_Power': {'acc': 0.333, 'num': 30},
 'Finance': {'acc': 0.233, 'num': 30},
 'Geography': {'acc': 0.333, 'num': 30},
 'History': {'acc': 0.3, 'num': 30},
 'Literature': {'acc': 0.667, 'num': 30},
 'Manage': {'acc': 0.367, 'num': 30},
 'Marketing': {'acc': 0.267, 'num': 30},
 'Materials': {'acc': 0.2, 'num': 30},
 'Math': {'acc': 0.4, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.267, 'num': 30},
 'Music': {'acc': 0.233, 'num': 30},
 'Overall': {'acc': 0.324, 'num': 900},
 'Overall-Art and Design': {'acc': 0.425, 'num': 120},
 'Overall-Business': {'acc': 0.347, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.333, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.417, 'num': 120},
 'Overall-Science': {'acc': 0.267, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.233, 'num': 210},
 'Pharmacy': {'acc': 0.367, 'num': 30},
 'Physics': {'acc': 0.233, 'num': 30},
 'Psychology': {'acc': 0.333, 'num': 30},
 'Public_Health': {'acc': 0.433, 'num': 30},
 'Sociology': {'acc': 0.367, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.324

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 7533.14 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1222.47 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10373.38 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 19827.63 examples/s]

Loading datasets:  20%|██        | 6/30 [00:17<00:37,  1.55s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1693.30 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12118.76 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 31055.13 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:17<00:28,  1.26s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1724.92 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8859.33 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1712.94 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9514.49 examples/s]



Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 9286.11 examples/s]

Loading datasets:  27%|██▋       | 8/30 [00:17<00:22,  1.01s/it]
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 14228.64 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1240.99 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4398.85 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5918.15 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:18<00:13,  1.46it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 824.45 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1392.65 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1606.32 examples/s][A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1602.84 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:19<00:13,  1.39it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 913.75 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10333.34 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 34399.40 examples/s]

Loading datasets:  40%|████      | 12/30 [00:19<00:10,  1.74it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1673.84 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8888.75 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 28752.62 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:20<00:11,  1.47it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1090.45 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3458.84 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 3411.89 examples/s]

Loading datasets:  47%|████▋     | 14/30 [00:21<00:10,  1.50it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1635.33 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3697.70 examples/s]


Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 4958.08 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:21<00:07,  1.91it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1044.66 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11244.78 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 27014.47 examples/s]

Loading datasets:  53%|█████▎    | 16/30 [00:21<00:08,  1.68it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1226.84 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 923.85 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1681.69 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:22<00:06,  2.02it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1190.75 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2673.29 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 3246.29 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:22<00:05,  2.35it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1844.62 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7870.22 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 14754.89 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:22<00:03,  3.01it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 814.49 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2348.87 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 2957.53 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:23<00:05,  1.74it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1717.57 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3534.13 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 4478.24 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:24<00:06,  1.50it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 591.56 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1852.88 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2474.94 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2467.23 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:25<00:06,  1.32it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1131.09 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9378.33 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 26109.82 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:26<00:05,  1.18it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1335.51 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12784.91 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 37760.35 examples/s]

Loading datasets:  80%|████████  | 24/30 [00:27<00:05,  1.14it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1400.53 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10321.48 examples/s]


Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 380/380 [00:00<00:00, 22286.11 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:28<00:03,  1.30it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 671.54 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1313.59 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1889.50 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12803.13 examples/s]



Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 44395.18 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:28<00:02,  1.47it/s]

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1371.95 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1377.46 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1343.58 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:28<00:01,  1.82it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 235.38 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 290.35 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 289.31 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 558.26 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 559.54 examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2050.80 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7703.51 examples/s]



Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 34752.76 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:29<00:01,  1.59it/s]

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 684.66 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 630.38 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1624.31 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3995.97 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 4195.03 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:29<00:00,  2.67it/s]
Loading datasets: 100%|██████████| 30/30 [00:29<00:00,  1.01it/s]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2759.96it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2758.92it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:27<6:56:17, 27.78s/it]
  0%|          | 2/900 [00:29<3:03:18, 12.25s/it]
  0%|          | 3/900 [00:29<1:42:04,  6.83s/it]
  0%|          | 4/900 [00:30<1:07:45,  4.54s/it]
  1%|          | 5/900 [00:31<46:02,  3.09s/it]  
  1%|          | 6/900 [00:32<35:40,  2.39s/it]
  1%|          | 7/900 [00:32<27:36,  1.86s/it]
  1%|          | 8/900 [00:33<20:02,  1.35s/it]
  1%|          | 9/900 [00:35<22:41,  1.53s/it]
  1%|          | 10/900 [00:35<16:36,  1.12s/it]
  1%|          | 11/900 [00:35<14:16,  1.04it/s]
  2%|▏         | 16/900 [00:36<04:49,  3.06it/s]
  3%|▎         | 27/900 [00:36<01:42,  8.50it/s]
  5%|▍         | 43/900 [00:36<00:59, 14.41it/s]
 14%|█▍        | 129/900 [00:53<02:10,  5.92it/s]
 14%|█▍        | 130/900 [00:54<02:18,  5.54it/s]
 15%|█▍        | 132/900 [00:56<02:39,  4.80it/s]
 15%|█▍        | 134/900 [00:57<03:00,  4.23it/s]
 15%|█▌        | 135/900 [00:58<03:13,  3.96it/s]
 15%|█▌        | 136/900 [00:58<03:22,  3.78it/s]
 15%|█▌        | 137/900 [00:59<03:53,  3.26it/s]
 15%|█▌        | 138/900 [01:01<05:42,  2.22it/s]
 16%|█▌        | 140/900 [01:02<05:03,  2.50it/s]
 16%|█▌        | 141/900 [01:02<04:50,  2.62it/s]
 16%|█▌        | 142/900 [01:03<05:44,  2.20it/s]
 16%|█▌        | 143/900 [01:04<06:57,  1.81it/s]
 16%|█▌        | 144/900 [01:04<06:27,  1.95it/s]
 16%|█▌        | 145/900 [01:05<07:28,  1.68it/s]
 16%|█▋        | 147/900 [01:06<05:25,  2.31it/s]
 16%|█▋        | 148/900 [01:06<05:27,  2.30it/s]
 17%|█▋        | 149/900 [01:07<06:22,  1.96it/s]
 17%|█▋        | 151/900 [01:07<04:06,  3.04it/s]
 18%|█▊        | 166/900 [01:07<00:54, 13.53it/s]
 21%|██        | 186/900 [01:07<00:26, 26.72it/s]
 29%|██▊       | 258/900 [01:14<00:51, 12.37it/s]
 29%|██▉       | 262/900 [01:20<01:42,  6.24it/s]
 29%|██▉       | 265/900 [01:22<02:01,  5.24it/s]
 30%|██▉       | 267/900 [01:24<02:24,  4.39it/s]
 30%|██▉       | 269/900 [01:25<02:44,  3.83it/s]
 30%|███       | 271/900 [01:26<02:41,  3.90it/s]
 30%|███       | 273/900 [01:26<02:32,  4.12it/s]
 30%|███       | 274/900 [01:26<02:26,  4.28it/s]
 31%|███       | 275/900 [01:27<03:01,  3.44it/s]
 31%|███       | 276/900 [01:27<02:56,  3.54it/s]
 31%|███       | 277/900 [01:28<03:01,  3.43it/s]
 31%|███       | 278/900 [01:28<03:48,  2.72it/s]
 31%|███       | 280/900 [01:29<03:29,  2.95it/s]
 31%|███▏      | 282/900 [01:30<03:53,  2.65it/s]
 32%|███▏      | 284/900 [01:30<03:38,  2.82it/s]
 32%|███▏      | 285/900 [01:31<03:20,  3.06it/s]
 32%|███▏      | 286/900 [01:31<03:13,  3.17it/s]
 32%|███▏      | 288/900 [01:32<04:30,  2.26it/s]
 32%|███▏      | 289/900 [01:33<04:23,  2.32it/s]
 36%|███▋      | 327/900 [01:33<00:23, 24.33it/s]
 43%|████▎     | 386/900 [01:38<00:38, 13.31it/s]
 43%|████▎     | 390/900 [01:44<01:20,  6.31it/s]
 44%|████▎     | 393/900 [01:45<01:30,  5.59it/s]
 44%|████▍     | 395/900 [01:47<01:46,  4.74it/s]
 44%|████▍     | 397/900 [01:48<02:00,  4.18it/s]
 44%|████▍     | 398/900 [01:48<01:59,  4.21it/s]
 44%|████▍     | 399/900 [01:49<01:58,  4.21it/s]
 44%|████▍     | 400/900 [01:49<02:05,  3.99it/s]
 45%|████▍     | 401/900 [01:50<02:31,  3.30it/s]
 45%|████▍     | 403/900 [01:50<02:15,  3.68it/s]
 45%|████▌     | 405/900 [01:50<01:55,  4.28it/s]
 45%|████▌     | 406/900 [01:50<01:47,  4.59it/s]
 45%|████▌     | 407/900 [01:51<02:41,  3.06it/s]
 45%|████▌     | 409/900 [01:51<02:00,  4.08it/s]
 46%|████▌     | 410/900 [01:52<02:19,  3.51it/s]
 46%|████▌     | 411/900 [01:53<02:58,  2.74it/s]
 46%|████▌     | 413/900 [01:53<02:06,  3.85it/s]
 46%|████▌     | 415/900 [01:53<01:53,  4.27it/s]
 46%|████▋     | 417/900 [01:54<02:04,  3.88it/s]
 46%|████▋     | 418/900 [01:54<02:08,  3.76it/s]
 47%|████▋     | 420/900 [01:54<01:51,  4.30it/s]
 47%|████▋     | 421/900 [01:55<02:04,  3.86it/s]
 47%|████▋     | 422/900 [01:55<01:58,  4.04it/s]
 47%|████▋     | 424/900 [01:55<01:40,  4.74it/s]
 47%|████▋     | 426/900 [01:56<01:25,  5.56it/s]
 48%|████▊     | 428/900 [01:56<01:51,  4.25it/s]
 48%|████▊     | 429/900 [01:57<02:14,  3.49it/s]
 48%|████▊     | 430/900 [01:58<03:15,  2.40it/s]
 48%|████▊     | 431/900 [01:58<02:48,  2.78it/s]
 51%|█████▏    | 463/900 [01:58<00:16, 27.26it/s]
 57%|█████▋    | 515/900 [02:03<00:28, 13.66it/s]
 58%|█████▊    | 519/900 [02:08<01:03,  6.01it/s]
 58%|█████▊    | 522/900 [02:10<01:09,  5.45it/s]
 58%|█████▊    | 524/900 [02:10<01:11,  5.24it/s]
 58%|█████▊    | 526/900 [02:12<01:34,  3.94it/s]
 59%|█████▊    | 528/900 [02:13<01:44,  3.55it/s]
 59%|█████▉    | 529/900 [02:13<01:41,  3.65it/s]
 59%|█████▉    | 530/900 [02:14<01:38,  3.76it/s]
 59%|█████▉    | 531/900 [02:14<01:48,  3.41it/s]
 59%|█████▉    | 532/900 [02:15<02:11,  2.80it/s]
 59%|█████▉    | 534/900 [02:15<01:44,  3.49it/s]
 60%|█████▉    | 537/900 [02:15<01:17,  4.71it/s]
 60%|█████▉    | 538/900 [02:15<01:14,  4.87it/s]
