Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 191.8939892530907
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.433, 'num': 30},
 'Agriculture': {'acc': 0.4, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.367, 'num': 30},
 'Art': {'acc': 0.6, 'num': 30},
 'Art_Theory': {'acc': 0.467, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.267, 'num': 30},
 'Biology': {'acc': 0.233, 'num': 30},
 'Chemistry': {'acc': 0.233, 'num': 30},
 'Clinical_Medicine': {'acc': 0.233, 'num': 30},
 'Computer_Science': {'acc': 0.167, 'num': 30},
 'Design': {'acc': 0.533, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.167, 'num': 30},
 'Economics': {'acc': 0.467, 'num': 30},
 'Electronics': {'acc': 0.1, 'num': 30},
 'Energy_and_Power': {'acc': 0.4, 'num': 30},
 'Finance': {'acc': 0.2, 'num': 30},
 'Geography': {'acc': 0.333, 'num': 30},
 'History': {'acc': 0.367, 'num': 30},
 'Literature': {'acc': 0.7, 'num': 30},
 'Manage': {'acc': 0.3, 'num': 30},
 'Marketing': {'acc': 0.333, 'num': 30},
 'Materials': {'acc': 0.2, 'num': 30},
 'Math': {'acc': 0.133, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.3, 'num': 30},
 'Music': {'acc': 0.4, 'num': 30},
 'Overall': {'acc': 0.331, 'num': 900},
 'Overall-Art and Design': {'acc': 0.5, 'num': 120},
 'Overall-Business': {'acc': 0.347, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.267, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.4, 'num': 120},
 'Overall-Science': {'acc': 0.267, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.276, 'num': 210},
 'Pharmacy': {'acc': 0.267, 'num': 30},
 'Physics': {'acc': 0.4, 'num': 30},
 'Psychology': {'acc': 0.2, 'num': 30},
 'Public_Health': {'acc': 0.4, 'num': 30},
 'Sociology': {'acc': 0.333, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.331

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 38327.40 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:18<00:48,  1.94s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2043.81 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10305.42 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 19267.56 examples/s]

Loading datasets:  20%|██        | 6/30 [00:18<00:31,  1.32s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1780.11 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6970.37 examples/s]


Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 8952.03 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:19<00:22,  1.04it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1254.43 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5307.90 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 8813.72 examples/s]

Loading datasets:  27%|██▋       | 8/30 [00:19<00:16,  1.30it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1473.13 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9246.70 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 22994.52 examples/s]

Loading datasets:  30%|███       | 9/30 [00:20<00:14,  1.42it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1483.97 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10618.49 examples/s]


Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 36164.29 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:20<00:11,  1.75it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1509.07 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12396.96 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 48751.05 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:20<00:08,  2.16it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1343.38 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3485.09 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 345/345 [00:00<00:00, 3129.60 examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 3117.48 examples/s]

Loading datasets:  40%|████      | 12/30 [00:20<00:07,  2.30it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1737.49 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12088.49 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 24291.15 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2028.78 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12152.71 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 21968.53 examples/s]

Loading datasets:  47%|████▋     | 14/30 [00:21<00:05,  2.90it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1133.35 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3963.75 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1750.98 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6963.81 examples/s]



Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 9848.33 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:22<00:08,  1.81it/s]
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 2891.83 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2036.27 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11888.62 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 30633.89 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1385.45 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11836.06 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 40790.56 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:23<00:04,  2.95it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1232.53 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2630.92 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 2733.89 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:23<00:04,  2.64it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1596.98 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8787.56 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 29521.46 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:23<00:03,  2.92it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 870.15 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7895.90 examples/s]


Generating test split:   0%|          | 0/408 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 408/408 [00:00<00:00, 32202.56 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:24<00:03,  2.83it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 645.54 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 573.54 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A

Generating test split:  64%|██████▎   | 103/162 [00:00<00:00, 987.18 examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1223.67 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:24<00:03,  2.57it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1461.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4288.95 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3930.03 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:24<00:02,  2.84it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 749.95 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1547.09 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split:  69%|██████▉   | 174/252 [00:00<00:00, 1190.06 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 1437.54 examples/s]

Loading datasets:  80%|████████  | 24/30 [00:27<00:05,  1.06it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 513.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1216.85 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1566.05 examples/s][A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1562.45 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:28<00:04,  1.03it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 709.07 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2741.26 examples/s]


Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 3977.45 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:30<00:04,  1.13s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 769.82 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6255.80 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 24275.37 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:32<00:04,  1.52s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 692.18 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1185.98 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1353.00 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1235.07 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1206.22 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:32<00:02,  1.23s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 565.48 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3677.17 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5438.56 examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5422.93 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:33<00:01,  1.06s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 281.09 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 305.50 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  20%|█▉        | 56/287 [00:00<00:00, 406.35 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 499.63 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 579.22 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 531.80 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:34<00:00,  1.00s/it]
Loading datasets: 100%|██████████| 30/30 [00:34<00:00,  1.15s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2728.01it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2727.12it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:22<5:36:36, 22.47s/it]
  0%|          | 2/900 [00:24<2:38:22, 10.58s/it]
  0%|          | 3/900 [00:25<1:31:46,  6.14s/it]
  0%|          | 4/900 [00:26<1:00:19,  4.04s/it]
  1%|          | 5/900 [00:26<41:24,  2.78s/it]  
  1%|          | 7/900 [00:27<23:35,  1.58s/it]
  1%|          | 8/900 [00:28<21:53,  1.47s/it]
  1%|          | 9/900 [00:29<18:50,  1.27s/it]
  1%|          | 10/900 [00:30<15:36,  1.05s/it]
  1%|          | 11/900 [00:30<12:41,  1.17it/s]
  1%|▏         | 12/900 [00:30<10:19,  1.43it/s]
  1%|▏         | 13/900 [00:31<09:30,  1.56it/s]
  2%|▏         | 14/900 [00:31<07:28,  1.97it/s]
  2%|▏         | 15/900 [00:32<10:38,  1.39it/s]
  2%|▏         | 16/900 [00:33<10:02,  1.47it/s]
  2%|▏         | 17/900 [00:34<10:39,  1.38it/s]
  4%|▎         | 33/900 [00:34<01:26, 10.05it/s]
  4%|▍         | 38/900 [00:34<01:23, 10.38it/s]
  4%|▍         | 38/900 [00:48<01:23, 10.38it/s]
 14%|█▍        | 129/900 [00:48<01:53,  6.79it/s]
 14%|█▍        | 130/900 [00:49<01:58,  6.50it/s]
 15%|█▍        | 133/900 [00:53<02:43,  4.69it/s]
 15%|█▌        | 135/900 [00:53<02:44,  4.66it/s]
 15%|█▌        | 137/900 [00:55<03:20,  3.80it/s]
 15%|█▌        | 138/900 [00:56<03:40,  3.46it/s]
 15%|█▌        | 139/900 [00:56<03:37,  3.50it/s]
 16%|█▌        | 140/900 [00:56<03:37,  3.50it/s]
 16%|█▌        | 141/900 [00:57<03:32,  3.57it/s]
 16%|█▌        | 142/900 [00:57<03:22,  3.75it/s]
 16%|█▌        | 143/900 [00:57<03:29,  3.60it/s]
 16%|█▌        | 144/900 [00:57<03:19,  3.79it/s]
 16%|█▌        | 146/900 [00:57<02:35,  4.84it/s]
 16%|█▋        | 147/900 [00:58<02:39,  4.71it/s]
 16%|█▋        | 148/900 [00:58<03:43,  3.36it/s]
 17%|█▋        | 150/900 [00:59<04:17,  2.91it/s]
 17%|█▋        | 151/900 [00:59<04:07,  3.03it/s]
 17%|█▋        | 152/900 [01:00<04:11,  2.98it/s]
 17%|█▋        | 153/900 [01:00<03:55,  3.17it/s]
 17%|█▋        | 154/900 [01:02<10:04,  1.23it/s]
 19%|█▉        | 170/900 [01:03<01:36,  7.53it/s]
 21%|██        | 190/900 [01:03<00:49, 14.24it/s]
 29%|██▊       | 257/900 [01:17<01:47,  5.99it/s]
 29%|██▊       | 258/900 [01:18<01:56,  5.53it/s]
 29%|██▉       | 260/900 [01:20<02:21,  4.54it/s]
 29%|██▉       | 262/900 [01:22<02:48,  3.78it/s]
 29%|██▉       | 264/900 [01:22<02:48,  3.78it/s]
 29%|██▉       | 265/900 [01:24<03:28,  3.04it/s]
 30%|██▉       | 267/900 [01:24<03:09,  3.33it/s]
 30%|██▉       | 268/900 [01:25<03:40,  2.86it/s]
 30%|██▉       | 269/900 [01:25<03:34,  2.94it/s]
 30%|███       | 270/900 [01:25<03:23,  3.10it/s]
 30%|███       | 271/900 [01:26<03:20,  3.14it/s]
 30%|███       | 272/900 [01:26<03:19,  3.15it/s]
 30%|███       | 273/900 [01:26<03:04,  3.39it/s]
 31%|███       | 275/900 [01:26<02:17,  4.56it/s]
 31%|███       | 276/900 [01:27<02:21,  4.40it/s]
 31%|███       | 277/900 [01:27<03:19,  3.13it/s]
 31%|███       | 279/900 [01:28<03:57,  2.61it/s]
 31%|███       | 280/900 [01:29<04:08,  2.49it/s]
 31%|███       | 281/900 [01:29<03:44,  2.75it/s]
 31%|███▏      | 283/900 [01:29<02:34,  3.99it/s]
 32%|███▏      | 284/900 [01:30<03:06,  3.30it/s]
 32%|███▏      | 285/900 [01:31<05:00,  2.04it/s]
 32%|███▏      | 286/900 [01:31<04:40,  2.19it/s]
 32%|███▏      | 287/900 [01:33<08:30,  1.20it/s]
 32%|███▏      | 288/900 [01:34<09:16,  1.10it/s]
 32%|███▏      | 289/900 [01:34<07:51,  1.30it/s]
 34%|███▍      | 305/900 [01:35<01:11,  8.31it/s]
 36%|███▌      | 325/900 [01:35<00:31, 18.08it/s]
 43%|████▎     | 385/900 [01:43<00:54,  9.38it/s]
 43%|████▎     | 388/900 [01:45<01:08,  7.52it/s]
 43%|████▎     | 390/900 [01:46<01:26,  5.91it/s]
 44%|████▎     | 392/900 [01:48<01:46,  4.77it/s]
 44%|████▍     | 394/900 [01:49<01:49,  4.64it/s]
 44%|████▍     | 396/900 [01:49<01:53,  4.44it/s]
 44%|████▍     | 397/900 [01:50<02:16,  3.69it/s]
 44%|████▍     | 398/900 [01:51<02:29,  3.37it/s]
 45%|████▍     | 401/900 [01:51<02:10,  3.83it/s]
 45%|████▍     | 402/900 [01:52<02:16,  3.65it/s]
 45%|████▍     | 403/900 [01:52<02:14,  3.70it/s]
 45%|████▍     | 404/900 [01:52<02:16,  3.64it/s]
 45%|████▌     | 405/900 [01:52<02:09,  3.82it/s]
 45%|████▌     | 406/900 [01:53<02:32,  3.24it/s]
 45%|████▌     | 407/900 [01:53<02:22,  3.47it/s]
 46%|████▌     | 410/900 [01:54<01:42,  4.79it/s]
 46%|████▌     | 411/900 [01:55<03:30,  2.33it/s]
 46%|████▌     | 413/900 [01:55<03:04,  2.63it/s]
 46%|████▌     | 414/900 [01:56<03:38,  2.23it/s]
 46%|████▌     | 415/900 [01:57<03:30,  2.31it/s]
 46%|████▌     | 416/900 [01:57<03:20,  2.41it/s]
 46%|████▋     | 417/900 [01:58<04:48,  1.67it/s]
 46%|████▋     | 418/900 [01:59<05:11,  1.55it/s]
 47%|████▋     | 419/900 [01:59<04:18,  1.86it/s]
 47%|████▋     | 420/900 [02:00<05:10,  1.54it/s]
 47%|████▋     | 421/900 [02:00<04:37,  1.73it/s]
