Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 201.44087782036513
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.3, 'num': 30},
 'Agriculture': {'acc': 0.233, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.3, 'num': 30},
 'Art': {'acc': 0.433, 'num': 30},
 'Art_Theory': {'acc': 0.367, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.4, 'num': 30},
 'Biology': {'acc': 0.133, 'num': 30},
 'Chemistry': {'acc': 0.233, 'num': 30},
 'Clinical_Medicine': {'acc': 0.333, 'num': 30},
 'Computer_Science': {'acc': 0.233, 'num': 30},
 'Design': {'acc': 0.7, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.4, 'num': 30},
 'Economics': {'acc': 0.533, 'num': 30},
 'Electronics': {'acc': 0.1, 'num': 30},
 'Energy_and_Power': {'acc': 0.2, 'num': 30},
 'Finance': {'acc': 0.2, 'num': 30},
 'Geography': {'acc': 0.3, 'num': 30},
 'History': {'acc': 0.167, 'num': 30},
 'Literature': {'acc': 0.7, 'num': 30},
 'Manage': {'acc': 0.133, 'num': 30},
 'Marketing': {'acc': 0.4, 'num': 30},
 'Materials': {'acc': 0.033, 'num': 30},
 'Math': {'acc': 0.2, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.167, 'num': 30},
 'Music': {'acc': 0.3, 'num': 30},
 'Overall': {'acc': 0.313, 'num': 900},
 'Overall-Art and Design': {'acc': 0.45, 'num': 120},
 'Overall-Business': {'acc': 0.313, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.407, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.4, 'num': 120},
 'Overall-Science': {'acc': 0.227, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.181, 'num': 210},
 'Pharmacy': {'acc': 0.4, 'num': 30},
 'Physics': {'acc': 0.267, 'num': 30},
 'Psychology': {'acc': 0.333, 'num': 30},
 'Public_Health': {'acc': 0.5, 'num': 30},
 'Sociology': {'acc': 0.4, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.313

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 9482.20 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:18<00:52,  2.09s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1583.23 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6998.28 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 7552.17 examples/s]

Loading datasets:  20%|██        | 6/30 [00:18<00:36,  1.51s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1713.22 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8280.41 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1398.19 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5253.39 examples/s]



Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 22070.69 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:18<00:25,  1.12s/it]
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5850.20 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1375.36 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1072.20 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1609.92 examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1605.38 examples/s]

Loading datasets:  30%|███       | 9/30 [00:19<00:13,  1.52it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 720.32 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1705.19 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 2879.31 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:20<00:15,  1.30it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2250.89 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10709.77 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 29156.20 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1588.39 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11750.95 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 44020.04 examples/s]

Loading datasets:  40%|████      | 12/30 [00:20<00:10,  1.77it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1149.06 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3164.88 examples/s]


Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 4181.96 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:21<00:09,  1.83it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1193.39 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10290.25 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 37016.18 examples/s]

Loading datasets:  47%|████▋     | 14/30 [00:21<00:08,  1.86it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1320.71 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8773.47 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 18334.73 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1694.26 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12521.56 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 29084.72 examples/s]

Loading datasets:  53%|█████▎    | 16/30 [00:21<00:04,  2.90it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 500.54 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1838.64 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7993.72 examples/s]



Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1030.07 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 18623.28 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:23<00:07,  1.69it/s]

Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 859.35 examples/s][A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1360.93 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:23<00:05,  2.07it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1003.28 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3732.47 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1444.32 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6787.27 examples/s]



Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 6545.12 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:23<00:04,  2.31it/s]
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3414.95 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 620.11 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2007.39 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2346.94 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2340.86 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:24<00:03,  2.29it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1359.40 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11207.72 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 38535.09 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:24<00:03,  2.66it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1464.49 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4898.93 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 3794.49 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:25<00:02,  2.88it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2107.48 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12439.85 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 28318.46 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1275.87 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8978.82 examples/s]


Generating test split:   0%|          | 0/551 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 551/551 [00:00<00:00, 36191.20 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:25<00:01,  3.89it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1084.25 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11449.42 examples/s]


Generating test split:   0%|          | 0/408 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 408/408 [00:00<00:00, 31816.98 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:25<00:01,  3.02it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1212.23 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3091.70 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 345/345 [00:00<00:00, 3077.72 examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 3069.38 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:26<00:01,  2.16it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 206.75 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 258.89 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 249.06 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 552.53 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 554.49 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 682.08 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 625.05 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:29<00:01,  1.05it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 560.14 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1168.87 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1455.26 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1405.92 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1380.38 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:31<00:01,  1.43s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 990.16 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9932.83 examples/s]


Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 39674.61 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:32<00:00,  1.26s/it]
Loading datasets: 100%|██████████| 30/30 [00:32<00:00,  1.09s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2713.81it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2712.96it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:22<5:41:00, 22.76s/it]
  0%|          | 2/900 [00:25<2:41:27, 10.79s/it]
  0%|          | 3/900 [00:25<1:32:06,  6.16s/it]
  0%|          | 4/900 [00:26<57:08,  3.83s/it]  
  1%|          | 5/900 [00:26<38:51,  2.61s/it]
  1%|          | 6/900 [00:27<31:06,  2.09s/it]
  1%|          | 8/900 [00:27<16:26,  1.11s/it]
  1%|          | 9/900 [00:28<16:40,  1.12s/it]
  1%|          | 10/900 [00:29<14:35,  1.02it/s]
  1%|          | 11/900 [00:29<11:35,  1.28it/s]
  1%|▏         | 13/900 [00:30<07:40,  1.92it/s]
  2%|▏         | 14/900 [00:31<09:08,  1.62it/s]
  2%|▏         | 15/900 [00:31<07:33,  1.95it/s]
  2%|▏         | 16/900 [00:31<07:23,  1.99it/s]
  2%|▏         | 17/900 [00:32<06:20,  2.32it/s]
  4%|▎         | 33/900 [00:32<01:01, 14.17it/s]
  6%|▌         | 53/900 [00:32<00:29, 29.20it/s]
 14%|█▍        | 129/900 [00:44<01:37,  7.89it/s]
 14%|█▍        | 130/900 [00:44<01:38,  7.80it/s]
 15%|█▍        | 134/900 [00:48<02:27,  5.18it/s]
 15%|█▌        | 137/900 [00:49<02:31,  5.04it/s]
 15%|█▌        | 139/900 [00:50<02:42,  4.68it/s]
 16%|█▌        | 141/900 [00:50<02:52,  4.40it/s]
 16%|█▌        | 144/900 [00:51<02:48,  4.48it/s]
 16%|█▌        | 145/900 [00:51<02:54,  4.34it/s]
 16%|█▌        | 146/900 [00:52<02:58,  4.23it/s]
 16%|█▋        | 148/900 [00:52<02:45,  4.55it/s]
 17%|█▋        | 149/900 [00:52<02:39,  4.71it/s]
 17%|█▋        | 150/900 [00:53<03:28,  3.61it/s]
 17%|█▋        | 152/900 [00:53<02:51,  4.36it/s]
 17%|█▋        | 154/900 [00:53<02:31,  4.92it/s]
 17%|█▋        | 155/900 [00:53<02:26,  5.08it/s]
 17%|█▋        | 156/900 [00:54<02:54,  4.27it/s]
 17%|█▋        | 157/900 [00:54<03:55,  3.16it/s]
 18%|█▊        | 159/900 [00:55<02:53,  4.27it/s]
 18%|█▊        | 160/900 [00:55<03:45,  3.28it/s]
 18%|█▊        | 161/900 [00:56<05:28,  2.25it/s]
 18%|█▊        | 162/900 [00:57<05:51,  2.10it/s]
 19%|█▊        | 168/900 [00:57<02:00,  6.06it/s]
 20%|█▉        | 179/900 [00:57<00:47, 15.09it/s]
 22%|██▏       | 199/900 [00:57<00:29, 23.47it/s]
 29%|██▊       | 257/900 [01:08<01:33,  6.88it/s]
 29%|██▊       | 258/900 [01:10<01:56,  5.51it/s]
 29%|██▉       | 261/900 [01:12<02:08,  4.97it/s]
 29%|██▉       | 263/900 [01:13<02:24,  4.41it/s]
 29%|██▉       | 265/900 [01:15<03:04,  3.45it/s]
 30%|██▉       | 266/900 [01:16<03:25,  3.08it/s]
 30%|██▉       | 267/900 [01:16<03:21,  3.14it/s]
 30%|██▉       | 268/900 [01:17<03:24,  3.09it/s]
 30%|██▉       | 269/900 [01:17<03:17,  3.19it/s]
 30%|███       | 272/900 [01:17<02:54,  3.59it/s]
 30%|███       | 273/900 [01:18<03:11,  3.28it/s]
 30%|███       | 274/900 [01:19<03:46,  2.76it/s]
 31%|███       | 278/900 [01:19<02:45,  3.75it/s]
 31%|███       | 280/900 [01:21<03:49,  2.70it/s]
 31%|███       | 281/900 [01:21<03:53,  2.65it/s]
 31%|███▏      | 282/900 [01:21<03:24,  3.02it/s]
 31%|███▏      | 283/900 [01:22<05:20,  1.92it/s]
 32%|███▏      | 285/900 [01:23<03:51,  2.66it/s]
 32%|███▏      | 286/900 [01:23<03:38,  2.81it/s]
 32%|███▏      | 288/900 [01:23<03:29,  2.92it/s]
 32%|███▏      | 290/900 [01:24<03:33,  2.86it/s]
 32%|███▏      | 292/900 [01:25<03:46,  2.69it/s]
 33%|███▎      | 294/900 [01:26<03:32,  2.85it/s]
 33%|███▎      | 295/900 [01:27<05:13,  1.93it/s]
 33%|███▎      | 296/900 [01:27<04:36,  2.18it/s]
 33%|███▎      | 297/900 [01:28<05:18,  1.89it/s]
 33%|███▎      | 298/900 [01:29<05:47,  1.73it/s]
 33%|███▎      | 299/900 [01:30<07:18,  1.37it/s]
 35%|███▍      | 312/900 [01:30<01:16,  7.64it/s]
 35%|███▌      | 316/900 [01:30<01:01,  9.43it/s]
 37%|███▋      | 337/900 [01:30<00:24, 22.81it/s]
 43%|████▎     | 385/900 [01:38<01:05,  7.81it/s]
 43%|████▎     | 389/900 [01:43<01:42,  4.99it/s]
 44%|████▎     | 392/900 [01:45<01:59,  4.25it/s]
 44%|████▍     | 394/900 [01:47<02:26,  3.44it/s]
 44%|████▍     | 396/900 [01:48<02:38,  3.19it/s]
 44%|████▍     | 397/900 [01:48<02:39,  3.15it/s]
 44%|████▍     | 398/900 [01:49<02:36,  3.21it/s]
 45%|████▍     | 401/900 [01:49<02:08,  3.87it/s]
 45%|████▍     | 402/900 [01:49<02:12,  3.75it/s]
 45%|████▍     | 403/900 [01:50<02:26,  3.40it/s]
 45%|████▍     | 404/900 [01:50<02:56,  2.80it/s]
 45%|████▌     | 407/900 [01:51<02:16,  3.62it/s]
 45%|████▌     | 409/900 [01:51<01:57,  4.17it/s]
 46%|████▌     | 412/900 [01:52<01:40,  4.86it/s]
 46%|████▌     | 413/900 [01:52<02:18,  3.51it/s]
 46%|████▌     | 415/900 [01:53<02:23,  3.37it/s]
 46%|████▌     | 416/900 [01:53<02:18,  3.49it/s]
 46%|████▋     | 418/900 [01:54<02:21,  3.40it/s]
 47%|████▋     | 420/900 [01:54<02:03,  3.89it/s]
 47%|████▋     | 421/900 [01:54<02:07,  3.75it/s]
 47%|████▋     | 423/900 [01:55<02:41,  2.95it/s]
 47%|████▋     | 424/900 [01:56<03:05,  2.57it/s]
 47%|████▋     | 425/900 [01:56<02:44,  2.88it/s]
 47%|████▋     | 426/900 [01:57<03:13,  2.45it/s]
 47%|████▋     | 427/900 [01:57<03:49,  2.06it/s]
