Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 204.00194628792815
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.267, 'num': 30},
 'Agriculture': {'acc': 0.2, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.267, 'num': 30},
 'Art': {'acc': 0.467, 'num': 30},
 'Art_Theory': {'acc': 0.433, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.467, 'num': 30},
 'Biology': {'acc': 0.2, 'num': 30},
 'Chemistry': {'acc': 0.1, 'num': 30},
 'Clinical_Medicine': {'acc': 0.267, 'num': 30},
 'Computer_Science': {'acc': 0.4, 'num': 30},
 'Design': {'acc': 0.533, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.233, 'num': 30},
 'Economics': {'acc': 0.267, 'num': 30},
 'Electronics': {'acc': 0.067, 'num': 30},
 'Energy_and_Power': {'acc': 0.3, 'num': 30},
 'Finance': {'acc': 0.2, 'num': 30},
 'Geography': {'acc': 0.367, 'num': 30},
 'History': {'acc': 0.467, 'num': 30},
 'Literature': {'acc': 0.667, 'num': 30},
 'Manage': {'acc': 0.267, 'num': 30},
 'Marketing': {'acc': 0.4, 'num': 30},
 'Materials': {'acc': 0.3, 'num': 30},
 'Math': {'acc': 0.2, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.3, 'num': 30},
 'Music': {'acc': 0.267, 'num': 30},
 'Overall': {'acc': 0.327, 'num': 900},
 'Overall-Art and Design': {'acc': 0.425, 'num': 120},
 'Overall-Business': {'acc': 0.28, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.353, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.492, 'num': 120},
 'Overall-Science': {'acc': 0.227, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.262, 'num': 210},
 'Pharmacy': {'acc': 0.5, 'num': 30},
 'Physics': {'acc': 0.267, 'num': 30},
 'Psychology': {'acc': 0.367, 'num': 30},
 'Public_Health': {'acc': 0.3, 'num': 30},
 'Sociology': {'acc': 0.467, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.327

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 4788.12 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:17<00:44,  1.78s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1816.97 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4674.88 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1747.19 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5111.26 examples/s]



Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 3628.11 examples/s]

Generating test split: 100%|██████████| 278/278 [00:00<00:00, 3191.41 examples/s]

Loading datasets:  20%|██        | 6/30 [00:18<00:30,  1.26s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 754.91 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9886.01 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 30490.33 examples/s]

Loading datasets:  27%|██▋       | 8/30 [00:18<00:17,  1.24it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1600.39 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2077.04 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 3154.44 examples/s]

Loading datasets:  30%|███       | 9/30 [00:19<00:16,  1.30it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2068.61 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12102.44 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 32058.95 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1550.23 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6307.86 examples/s]


Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 8757.75 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:19<00:08,  2.15it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2201.50 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12290.40 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 27071.78 examples/s]

Loading datasets:  40%|████      | 12/30 [00:19<00:07,  2.56it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 688.20 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1202.96 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A

Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 911.73 examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1397.45 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3503.04 examples/s]



Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1471.86 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:19<00:05,  2.84it/s]
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 2869.06 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1092.10 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9787.58 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 16334.98 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:20<00:06,  2.36it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1666.92 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11404.80 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 23997.70 examples/s]

Loading datasets:  53%|█████▎    | 16/30 [00:21<00:05,  2.38it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2058.66 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 13084.03 examples/s]


Generating test split:   0%|          | 0/408 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 408/408 [00:00<00:00, 37966.77 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:21<00:05,  2.51it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1970.82 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9691.84 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 23489.87 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:21<00:04,  2.99it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2170.74 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12366.50 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 31325.32 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 810.52 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10055.87 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 37806.48 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:22<00:02,  3.58it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1330.09 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9139.91 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 27153.35 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:22<00:02,  3.64it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1053.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2052.78 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2476.20 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2468.38 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:23<00:02,  2.93it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1151.21 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3347.50 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 334/334 [00:00<00:00, 2774.47 examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 2766.84 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:24<00:04,  1.56it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1431.11 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1840.90 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 899.58 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4665.87 examples/s]



Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 6230.58 examples/s]


Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1613.78 examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1607.94 examples/s]

Loading datasets:  80%|████████  | 24/30 [00:24<00:03,  1.96it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1900.97 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8304.46 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 14247.55 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:25<00:01,  2.36it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1379.61 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7140.86 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 28507.98 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:27<00:02,  1.29it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 630.70 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1128.09 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1325.99 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1243.01 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1222.47 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:27<00:01,  1.47it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1868.45 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11856.13 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 24481.81 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:28<00:00,  1.66it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 270.26 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 293.91 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 292.87 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 540.37 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 529.54 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 631.47 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 590.00 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:33<00:00,  2.07s/it]
Loading datasets: 100%|██████████| 30/30 [00:33<00:00,  1.13s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2735.57it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2733.37it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:25<6:15:17, 25.05s/it]
  0%|          | 2/900 [00:26<2:44:08, 10.97s/it]
  0%|          | 3/900 [00:28<1:44:27,  6.99s/it]
  1%|          | 5/900 [00:31<56:47,  3.81s/it]  
  1%|          | 6/900 [00:31<41:49,  2.81s/it]
  1%|          | 7/900 [00:31<30:33,  2.05s/it]
  1%|          | 8/900 [00:32<23:00,  1.55s/it]
  1%|          | 9/900 [00:32<18:23,  1.24s/it]
  1%|          | 10/900 [00:33<17:14,  1.16s/it]
  1%|          | 11/900 [00:34<15:03,  1.02s/it]
  1%|▏         | 12/900 [00:34<13:05,  1.13it/s]
  1%|▏         | 13/900 [00:34<10:04,  1.47it/s]
  2%|▏         | 14/900 [00:35<08:46,  1.68it/s]
  3%|▎         | 30/900 [00:35<01:11, 12.22it/s]
  5%|▌         | 46/900 [00:35<00:43, 19.75it/s]
 10%|█         | 94/900 [00:36<00:13, 58.57it/s]
 14%|█▍        | 129/900 [00:48<02:04,  6.20it/s]
 14%|█▍        | 130/900 [00:48<02:04,  6.17it/s]
 16%|█▌        | 140/900 [00:55<03:25,  3.69it/s]
 16%|█▋        | 147/900 [00:59<03:46,  3.33it/s]
 17%|█▋        | 152/900 [01:01<04:09,  3.00it/s]
 19%|█▊        | 168/900 [01:01<02:30,  4.87it/s]
 20%|██        | 184/900 [01:02<01:41,  7.02it/s]
 28%|██▊       | 248/900 [01:02<00:31, 20.79it/s]
 28%|██▊       | 248/900 [01:19<00:31, 20.79it/s]
 29%|██▉       | 261/900 [01:19<02:40,  3.99it/s]
 29%|██▉       | 262/900 [01:20<02:46,  3.84it/s]
 30%|███       | 274/900 [01:24<03:02,  3.44it/s]
 31%|███▏      | 283/900 [01:28<03:16,  3.14it/s]
 32%|███▏      | 289/900 [01:30<03:17,  3.09it/s]
 33%|███▎      | 294/900 [01:32<03:15,  3.09it/s]
 33%|███▎      | 297/900 [01:34<03:40,  2.74it/s]
 33%|███▎      | 300/900 [01:35<03:50,  2.60it/s]
 34%|███▎      | 302/900 [01:38<04:42,  2.11it/s]
 34%|███▍      | 304/900 [01:39<04:45,  2.09it/s]
 35%|███▌      | 319/900 [01:39<01:50,  5.28it/s]
 37%|███▋      | 335/900 [01:39<01:01,  9.18it/s]
 43%|████▎     | 385/900 [01:49<01:27,  5.92it/s]
 43%|████▎     | 389/900 [01:52<01:45,  4.86it/s]
 44%|████▎     | 392/900 [01:53<01:51,  4.54it/s]
 44%|████▍     | 394/900 [01:54<02:02,  4.12it/s]
 44%|████▍     | 396/900 [01:56<02:35,  3.25it/s]
 44%|████▍     | 397/900 [01:57<02:41,  3.12it/s]
 44%|████▍     | 400/900 [01:57<02:20,  3.56it/s]
 45%|████▍     | 401/900 [01:58<02:36,  3.18it/s]
 45%|████▍     | 403/900 [01:58<02:18,  3.60it/s]
 45%|████▍     | 404/900 [01:58<02:24,  3.44it/s]
 45%|████▌     | 405/900 [01:58<02:15,  3.67it/s]
 45%|████▌     | 406/900 [01:59<02:41,  3.06it/s]
 45%|████▌     | 408/900 [02:00<03:43,  2.20it/s]
 45%|████▌     | 409/900 [02:01<03:48,  2.15it/s]
 46%|████▌     | 413/900 [02:01<02:18,  3.52it/s]
 46%|████▌     | 414/900 [02:02<02:30,  3.22it/s]
 46%|████▋     | 417/900 [02:02<02:08,  3.75it/s]
 46%|████▋     | 418/900 [02:03<02:07,  3.79it/s]
 47%|████▋     | 419/900 [02:03<02:35,  3.09it/s]
 47%|████▋     | 420/900 [02:04<02:37,  3.05it/s]
 47%|████▋     | 423/900 [02:05<02:33,  3.10it/s]
 47%|████▋     | 425/900 [02:05<02:09,  3.67it/s]
 47%|████▋     | 426/900 [02:05<01:59,  3.96it/s]
 48%|████▊     | 429/900 [02:06<02:03,  3.82it/s]
 48%|████▊     | 431/900 [02:06<01:56,  4.04it/s]
 48%|████▊     | 433/900 [02:07<01:55,  4.03it/s]
 48%|████▊     | 434/900 [02:08<02:35,  3.00it/s]
 48%|████▊     | 435/900 [02:08<03:07,  2.48it/s]
 48%|████▊     | 436/900 [02:09<03:41,  2.10it/s]
 50%|█████     | 454/900 [02:09<00:34, 12.90it/s]
 57%|█████▋    | 513/900 [02:13<00:27, 14.20it/s]
 57%|█████▋    | 517/900 [02:17<00:50,  7.51it/s]
 58%|█████▊    | 520/900 [02:18<00:59,  6.38it/s]
 58%|█████▊    | 522/900 [02:20<01:09,  5.41it/s]
 58%|█████▊    | 524/900 [02:20<01:16,  4.94it/s]
 58%|█████▊    | 525/900 [02:22<01:41,  3.69it/s]
 58%|█████▊    | 526/900 [02:23<02:03,  3.02it/s]
 59%|█████▊    | 527/900 [02:23<02:06,  2.94it/s]
 59%|█████▉    | 530/900 [02:24<02:12,  2.78it/s]
 59%|█████▉    | 531/900 [02:25<02:10,  2.83it/s]
 59%|█████▉    | 533/900 [02:25<01:52,  3.25it/s]
 59%|█████▉    | 535/900 [02:25<01:38,  3.72it/s]
 60%|█████▉    | 536/900 [02:26<01:37,  3.72it/s]
 60%|█████▉    | 537/900 [02:26<01:30,  4.00it/s]
 60%|█████▉    | 538/900 [02:26<01:54,  3.15it/s]
 60%|█████▉    | 539/900 [02:27<01:44,  3.47it/s]
 60%|██████    | 540/900 [02:27<01:53,  3.17it/s]
 60%|██████    | 541/900 [02:27<01:59,  3.01it/s]
 61%|██████    | 546/900 [02:28<01:19,  4.48it/s]
 61%|██████    | 548/900 [02:29<01:16,  4.62it/s]
 61%|██████    | 549/900 [02:29<01:14,  4.69it/s]
 61%|██████    | 550/900 [02:29<01:27,  4.01it/s]
 61%|██████    | 551/900 [02:30<01:28,  3.95it/s]
 61%|██████▏   | 552/900 [02:30<01:37,  3.58it/s]
 62%|██████▏   | 557/900 [02:31<01:24,  4.06it/s]
 62%|██████▏   | 559/900 [02:31<01:15,  4.50it/s]
 62%|██████▏   | 560/900 [02:32<01:15,  4.53it/s]
 62%|██████▏   | 562/900 [02:32<01:25,  3.95it/s]
