Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 197.14592433907092
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.267, 'num': 30},
 'Agriculture': {'acc': 0.333, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.267, 'num': 30},
 'Art': {'acc': 0.5, 'num': 30},
 'Art_Theory': {'acc': 0.4, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.233, 'num': 30},
 'Biology': {'acc': 0.233, 'num': 30},
 'Chemistry': {'acc': 0.233, 'num': 30},
 'Clinical_Medicine': {'acc': 0.267, 'num': 30},
 'Computer_Science': {'acc': 0.333, 'num': 30},
 'Design': {'acc': 0.533, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.233, 'num': 30},
 'Economics': {'acc': 0.467, 'num': 30},
 'Electronics': {'acc': 0.133, 'num': 30},
 'Energy_and_Power': {'acc': 0.3, 'num': 30},
 'Finance': {'acc': 0.267, 'num': 30},
 'Geography': {'acc': 0.3, 'num': 30},
 'History': {'acc': 0.333, 'num': 30},
 'Literature': {'acc': 0.633, 'num': 30},
 'Manage': {'acc': 0.267, 'num': 30},
 'Marketing': {'acc': 0.4, 'num': 30},
 'Materials': {'acc': 0.367, 'num': 30},
 'Math': {'acc': 0.233, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.167, 'num': 30},
 'Music': {'acc': 0.233, 'num': 30},
 'Overall': {'acc': 0.32, 'num': 900},
 'Overall-Art and Design': {'acc': 0.417, 'num': 120},
 'Overall-Business': {'acc': 0.333, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.28, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.4, 'num': 120},
 'Overall-Science': {'acc': 0.273, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.271, 'num': 210},
 'Pharmacy': {'acc': 0.367, 'num': 30},
 'Physics': {'acc': 0.367, 'num': 30},
 'Psychology': {'acc': 0.4, 'num': 30},
 'Public_Health': {'acc': 0.3, 'num': 30},
 'Sociology': {'acc': 0.233, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.32

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 41742.06 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:17<00:49,  1.99s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1916.78 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11712.66 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 29378.47 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1036.96 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1680.66 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 2822.18 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:18<00:28,  1.25s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1962.52 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11721.39 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 36340.47 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1299.19 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4300.53 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 3471.34 examples/s]

Loading datasets:  30%|███       | 9/30 [00:18<00:17,  1.17it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1400.25 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3797.01 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3884.57 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:18<00:14,  1.41it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1739.08 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12713.86 examples/s]


Generating test split:   0%|          | 0/408 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 408/408 [00:00<00:00, 42660.32 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:19<00:11,  1.72it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1266.78 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9160.54 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 19489.87 examples/s]

Loading datasets:  40%|████      | 12/30 [00:19<00:10,  1.72it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1634.44 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 14931.66 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 45909.95 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:20<00:10,  1.64it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1313.76 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 931.33 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1596.13 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3527.19 examples/s]



Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A[A

Generating test split:  64%|██████▎   | 103/162 [00:00<00:00, 1022.21 examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 3509.54 examples/s]

Loading datasets:  47%|████▋     | 14/30 [00:20<00:08,  1.85it/s]
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1254.43 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2082.16 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 13291.34 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 42497.79 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1326.47 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2883.94 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 3246.93 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:20<00:03,  3.67it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1704.31 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4867.10 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 4476.75 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:21<00:02,  4.09it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 939.88 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6944.21 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 8902.78 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:21<00:03,  2.88it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1599.17 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10474.41 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 23188.67 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:22<00:03,  2.76it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1203.25 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5540.69 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 9644.88 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:22<00:04,  2.10it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 2079.27 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12722.86 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 23031.84 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:23<00:03,  2.40it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1713.78 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6747.96 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 25201.59 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:24<00:04,  1.71it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1340.89 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6120.09 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 6133.63 examples/s]

Loading datasets:  80%|████████  | 24/30 [00:24<00:02,  2.14it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 968.30 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2623.79 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 755.57 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1270.46 examples/s]



Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A[A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2220.52 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2212.98 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:24<00:02,  2.41it/s]


Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 965.04 examples/s][A[A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1508.93 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:24<00:01,  2.97it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 969.87 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10270.93 examples/s]


Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 26988.29 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:28<00:03,  1.30s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1733.33 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12920.13 examples/s]


Generating test split:   0%|          | 0/551 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 551/551 [00:00<00:00, 53155.96 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:28<00:01,  1.03it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 242.18 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 287.02 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 274.94 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 526.67 examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 541.69 examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 770.84 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1492.72 examples/s]



Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A[A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 659.65 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 606.98 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:30<00:01,  1.34s/it]


Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1337.26 examples/s][A[A


Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1394.15 examples/s][A[A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1352.10 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:31<00:00,  1.01it/s]
Loading datasets: 100%|██████████| 30/30 [00:31<00:00,  1.03s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2749.61it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2748.69it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:30<7:35:56, 30.43s/it]
  0%|          | 2/900 [00:31<3:12:51, 12.89s/it]
  0%|          | 3/900 [00:31<1:47:50,  7.21s/it]
  1%|          | 5/900 [00:32<49:18,  3.31s/it]  
  1%|          | 6/900 [00:32<38:14,  2.57s/it]
  1%|          | 7/900 [00:33<29:01,  1.95s/it]
  1%|          | 8/900 [00:35<32:08,  2.16s/it]
  1%|          | 10/900 [00:36<19:47,  1.33s/it]
  1%|▏         | 12/900 [00:37<14:01,  1.06it/s]
  1%|▏         | 13/900 [00:39<16:19,  1.10s/it]
  2%|▏         | 14/900 [00:39<13:50,  1.07it/s]
  2%|▏         | 18/900 [00:39<06:41,  2.20it/s]
  3%|▎         | 30/900 [00:41<02:53,  5.01it/s]
 14%|█▍        | 129/900 [01:00<02:35,  4.96it/s]
 14%|█▍        | 130/900 [01:01<02:42,  4.74it/s]
 15%|█▍        | 131/900 [01:02<02:47,  4.59it/s]
 15%|█▍        | 132/900 [01:03<02:52,  4.46it/s]
 15%|█▍        | 134/900 [01:03<02:56,  4.35it/s]
 15%|█▌        | 135/900 [01:04<03:14,  3.94it/s]
 15%|█▌        | 136/900 [01:04<03:18,  3.86it/s]
 15%|█▌        | 137/900 [01:05<04:14,  3.00it/s]
 15%|█▌        | 139/900 [01:07<05:31,  2.30it/s]
 16%|█▌        | 140/900 [01:08<05:46,  2.19it/s]
 16%|█▌        | 141/900 [01:08<05:56,  2.13it/s]
 16%|█▌        | 142/900 [01:09<05:31,  2.29it/s]
 16%|█▌        | 143/900 [01:10<07:39,  1.65it/s]
 16%|█▌        | 145/900 [01:10<05:29,  2.29it/s]
 16%|█▌        | 146/900 [01:11<05:42,  2.20it/s]
 16%|█▋        | 147/900 [01:11<05:42,  2.20it/s]
 16%|█▋        | 148/900 [01:13<08:32,  1.47it/s]
 17%|█▋        | 149/900 [01:13<08:02,  1.56it/s]
 17%|█▋        | 150/900 [01:14<08:03,  1.55it/s]
 17%|█▋        | 151/900 [01:14<07:46,  1.61it/s]
 17%|█▋        | 152/900 [01:15<07:30,  1.66it/s]
 17%|█▋        | 153/900 [01:15<06:26,  1.93it/s]
 17%|█▋        | 155/900 [01:16<05:29,  2.26it/s]
 17%|█▋        | 156/900 [01:16<05:04,  2.44it/s]
 18%|█▊        | 158/900 [01:16<03:28,  3.55it/s]
 19%|█▉        | 174/900 [01:17<00:46, 15.60it/s]
 29%|██▊       | 257/900 [01:23<00:51, 12.52it/s]
 29%|██▉       | 259/900 [01:27<01:19,  8.08it/s]
 29%|██▉       | 261/900 [01:28<01:30,  7.05it/s]
 29%|██▉       | 263/900 [01:29<01:45,  6.05it/s]
 29%|██▉       | 264/900 [01:29<01:50,  5.75it/s]
 29%|██▉       | 265/900 [01:31<02:19,  4.56it/s]
 30%|██▉       | 267/900 [01:32<03:06,  3.39it/s]
 30%|██▉       | 268/900 [01:32<03:04,  3.42it/s]
 30%|██▉       | 269/900 [01:33<03:13,  3.27it/s]
 30%|███       | 270/900 [01:33<03:31,  2.98it/s]
 30%|███       | 271/900 [01:34<03:35,  2.92it/s]
 30%|███       | 272/900 [01:34<04:14,  2.46it/s]
 30%|███       | 273/900 [01:35<04:55,  2.12it/s]
 31%|███       | 275/900 [01:35<03:33,  2.92it/s]
 31%|███       | 276/900 [01:36<03:10,  3.28it/s]
 31%|███       | 277/900 [01:36<03:17,  3.16it/s]
 31%|███       | 278/900 [01:36<03:19,  3.12it/s]
 31%|███       | 280/900 [01:37<03:27,  2.99it/s]
 31%|███       | 281/900 [01:38<04:01,  2.56it/s]
 31%|███▏      | 282/900 [01:38<03:35,  2.87it/s]
 31%|███▏      | 283/900 [01:38<03:26,  2.98it/s]
 32%|███▏      | 284/900 [01:39<04:12,  2.44it/s]
 32%|███▏      | 285/900 [01:39<04:21,  2.35it/s]
 32%|███▏      | 286/900 [01:40<04:51,  2.11it/s]
 32%|███▏      | 287/900 [01:40<03:55,  2.60it/s]
 32%|███▏      | 288/900 [01:40<03:44,  2.73it/s]
 32%|███▏      | 289/900 [01:41<03:32,  2.88it/s]
 32%|███▏      | 291/900 [01:41<03:24,  2.98it/s]
 33%|███▎      | 293/900 [01:41<02:23,  4.23it/s]
 33%|███▎      | 294/900 [01:42<02:32,  3.98it/s]
 33%|███▎      | 296/900 [01:42<02:57,  3.40it/s]
 33%|███▎      | 297/900 [01:43<02:46,  3.62it/s]
 35%|███▍      | 313/900 [01:43<00:31, 18.61it/s]
 43%|████▎     | 385/900 [01:48<00:38, 13.47it/s]
 43%|████▎     | 389/900 [01:53<01:09,  7.39it/s]
 44%|████▎     | 392/900 [01:54<01:20,  6.33it/s]
 44%|████▍     | 394/900 [01:54<01:20,  6.30it/s]
 44%|████▍     | 396/900 [01:55<01:31,  5.49it/s]
 44%|████▍     | 397/900 [01:56<01:44,  4.80it/s]
 44%|████▍     | 398/900 [01:57<02:09,  3.87it/s]
 44%|████▍     | 400/900 [01:57<02:02,  4.10it/s]
 45%|████▍     | 401/900 [01:58<02:14,  3.70it/s]
 45%|████▍     | 402/900 [01:58<02:32,  3.26it/s]
 45%|████▍     | 403/900 [01:59<02:21,  3.51it/s]
 45%|████▌     | 405/900 [01:59<02:41,  3.06it/s]
 45%|████▌     | 406/900 [02:00<03:13,  2.55it/s]
 45%|████▌     | 407/900 [02:00<02:46,  2.97it/s]
 45%|████▌     | 408/900 [02:00<02:41,  3.05it/s]
 45%|████▌     | 409/900 [02:01<03:23,  2.42it/s]
 46%|████▌     | 410/900 [02:02<03:12,  2.54it/s]
 46%|████▌     | 412/900 [02:02<03:02,  2.68it/s]
 46%|████▌     | 414/900 [02:03<02:29,  3.25it/s]
 46%|████▌     | 415/900 [02:03<02:46,  2.92it/s]
 46%|████▋     | 417/900 [02:04<02:55,  2.75it/s]
 46%|████▋     | 418/900 [02:04<03:01,  2.65it/s]
 47%|████▋     | 420/900 [02:05<02:21,  3.40it/s]
 47%|████▋     | 421/900 [02:05<02:42,  2.95it/s]
 47%|████▋     | 422/900 [02:05<02:22,  3.35it/s]
