Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 191.35063566593453
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.3, 'num': 30},
 'Agriculture': {'acc': 0.4, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.4, 'num': 30},
 'Art': {'acc': 0.4, 'num': 30},
 'Art_Theory': {'acc': 0.333, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.433, 'num': 30},
 'Biology': {'acc': 0.333, 'num': 30},
 'Chemistry': {'acc': 0.133, 'num': 30},
 'Clinical_Medicine': {'acc': 0.167, 'num': 30},
 'Computer_Science': {'acc': 0.2, 'num': 30},
 'Design': {'acc': 0.767, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.433, 'num': 30},
 'Economics': {'acc': 0.433, 'num': 30},
 'Electronics': {'acc': 0.133, 'num': 30},
 'Energy_and_Power': {'acc': 0.367, 'num': 30},
 'Finance': {'acc': 0.167, 'num': 30},
 'Geography': {'acc': 0.267, 'num': 30},
 'History': {'acc': 0.2, 'num': 30},
 'Literature': {'acc': 0.7, 'num': 30},
 'Manage': {'acc': 0.267, 'num': 30},
 'Marketing': {'acc': 0.267, 'num': 30},
 'Materials': {'acc': 0.333, 'num': 30},
 'Math': {'acc': 0.3, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.3, 'num': 30},
 'Music': {'acc': 0.267, 'num': 30},
 'Overall': {'acc': 0.33, 'num': 900},
 'Overall-Art and Design': {'acc': 0.442, 'num': 120},
 'Overall-Business': {'acc': 0.287, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.333, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.4, 'num': 120},
 'Overall-Science': {'acc': 0.26, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.305, 'num': 210},
 'Pharmacy': {'acc': 0.367, 'num': 30},
 'Physics': {'acc': 0.267, 'num': 30},
 'Psychology': {'acc': 0.367, 'num': 30},
 'Public_Health': {'acc': 0.267, 'num': 30},
 'Sociology': {'acc': 0.333, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.33

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 7308.69 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:18<00:47,  1.92s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 988.57 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7109.39 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 18447.73 examples/s]

Loading datasets:  20%|██        | 6/30 [00:19<00:33,  1.41s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1641.99 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10924.56 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 19377.18 examples/s]

Loading datasets:  23%|██▎       | 7/30 [00:19<00:23,  1.04s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1692.48 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8808.48 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 13202.34 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1576.33 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4043.48 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 278/278 [00:00<00:00, 2699.54 examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 2691.63 examples/s]

Loading datasets:  30%|███       | 9/30 [00:19<00:13,  1.50it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 625.51 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2622.15 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5512.54 examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5495.94 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:20<00:13,  1.49it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 538.82 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1151.57 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1912.06 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10477.90 examples/s]



Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 19839.13 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:21<00:14,  1.33it/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1723.36 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8710.91 examples/s]



Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A[A



Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1123.76 examples/s]




Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A[A

Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 822.05 examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 21366.66 examples/s]

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3323.10 examples/s]



Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1289.06 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:21<00:07,  2.19it/s]


Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3150.53 examples/s][A[A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3140.54 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1715.32 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4710.06 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 4395.69 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:22<00:06,  2.27it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 721.74 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2052.64 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2282.17 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2277.12 examples/s]

Loading datasets:  53%|█████▎    | 16/30 [00:22<00:05,  2.56it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1572.55 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4323.88 examples/s]


Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 4597.85 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:23<00:06,  1.97it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 762.74 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6210.72 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 8248.48 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:23<00:05,  2.14it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1541.80 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8534.26 examples/s]


Generating test split:   0%|          | 0/181 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 181/181 [00:00<00:00, 25640.67 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:24<00:04,  2.54it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1609.60 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12300.01 examples/s]


Generating test split:   0%|          | 0/505 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 505/505 [00:00<00:00, 29600.92 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1149.82 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2020.02 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 2930.01 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:24<00:02,  3.44it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1290.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3117.13 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 3291.33 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1794.58 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9593.56 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 16614.56 examples/s]

Loading datasets:  77%|███████▋  | 23/30 [00:24<00:01,  4.37it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1761.72 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11656.24 examples/s]


Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 380/380 [00:00<00:00, 28519.92 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1204.01 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7625.55 examples/s]


Generating test split:   0%|          | 0/432 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 432/432 [00:00<00:00, 35722.95 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:26<00:02,  2.37it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1023.55 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 827.89 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1588.45 examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1582.91 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:27<00:02,  1.57it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1754.20 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 14443.20 examples/s]


Generating test split:   0%|          | 0/551 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 551/551 [00:00<00:00, 49573.38 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:28<00:01,  1.67it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1075.46 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7987.63 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 22972.72 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:30<00:01,  1.03it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 634.39 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1077.20 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  18%|█▊        | 77/429 [00:00<00:00, 769.30 examples/s][A

Generating test split:  68%|██████▊   | 292/429 [00:00<00:00, 1010.15 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1147.91 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:31<00:00,  1.02it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 242.93 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 291.08 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 290.11 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 566.95 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 569.26 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 694.54 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 638.47 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:34<00:00,  1.54s/it]
Loading datasets: 100%|██████████| 30/30 [00:34<00:00,  1.15s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2726.02it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2725.04it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:22<5:42:18, 22.85s/it]
  0%|          | 2/900 [00:23<2:28:33,  9.93s/it]
  0%|          | 3/900 [00:24<1:28:49,  5.94s/it]
  0%|          | 4/900 [00:25<55:29,  3.72s/it]  
  1%|          | 5/900 [00:25<38:45,  2.60s/it]
  1%|          | 6/900 [00:26<27:58,  1.88s/it]
  1%|          | 7/900 [00:27<22:11,  1.49s/it]
  1%|          | 9/900 [00:27<13:31,  1.10it/s]
  1%|          | 10/900 [00:27<11:05,  1.34it/s]
  1%|          | 11/900 [00:28<10:41,  1.39it/s]
  1%|▏         | 12/900 [00:28<08:49,  1.68it/s]
  1%|▏         | 13/900 [00:29<07:49,  1.89it/s]
  2%|▏         | 14/900 [00:29<07:01,  2.10it/s]
  2%|▏         | 15/900 [00:30<08:21,  1.76it/s]
  3%|▎         | 31/900 [00:30<01:12, 12.01it/s]
  6%|▌         | 51/900 [00:30<00:37, 22.53it/s]
 14%|█▍        | 129/900 [00:46<02:03,  6.24it/s]
 14%|█▍        | 130/900 [00:46<02:07,  6.02it/s]
 15%|█▍        | 133/900 [00:49<02:36,  4.89it/s]
 15%|█▌        | 135/900 [00:49<02:34,  4.96it/s]
 15%|█▌        | 137/900 [00:50<02:42,  4.71it/s]
 15%|█▌        | 139/900 [00:50<02:41,  4.71it/s]
 16%|█▌        | 140/900 [00:50<02:48,  4.51it/s]
 16%|█▌        | 141/900 [00:51<03:05,  4.09it/s]
 16%|█▌        | 142/900 [00:51<03:01,  4.19it/s]
 16%|█▌        | 145/900 [00:52<02:46,  4.52it/s]
 16%|█▋        | 147/900 [00:52<02:45,  4.55it/s]
 17%|█▋        | 149/900 [00:53<03:15,  3.84it/s]
 17%|█▋        | 150/900 [00:53<03:22,  3.71it/s]
 17%|█▋        | 151/900 [00:53<03:17,  3.79it/s]
 17%|█▋        | 152/900 [00:54<03:23,  3.68it/s]
 17%|█▋        | 153/900 [00:55<05:51,  2.12it/s]
 17%|█▋        | 154/900 [00:55<05:03,  2.46it/s]
 17%|█▋        | 155/900 [00:55<04:14,  2.92it/s]
 17%|█▋        | 156/900 [00:56<05:26,  2.28it/s]
 18%|█▊        | 158/900 [00:56<04:24,  2.81it/s]
 18%|█▊        | 159/900 [00:57<03:53,  3.17it/s]
 18%|█▊        | 164/900 [00:57<01:40,  7.30it/s]
 19%|█▉        | 175/900 [00:57<00:39, 18.30it/s]
 21%|██        | 187/900 [00:57<00:22, 31.43it/s]
 24%|██▍       | 215/900 [00:57<00:10, 67.40it/s]
 29%|██▊       | 257/900 [01:08<01:37,  6.61it/s]
 29%|██▊       | 258/900 [01:10<01:56,  5.50it/s]
 29%|██▉       | 265/900 [01:14<02:39,  3.98it/s]
 30%|███       | 270/900 [01:15<02:30,  4.17it/s]
 30%|███       | 274/900 [01:16<02:36,  4.00it/s]
 31%|███       | 277/900 [01:17<02:45,  3.76it/s]
 31%|███       | 280/900 [01:17<02:31,  4.09it/s]
 31%|███▏      | 282/900 [01:18<02:21,  4.37it/s]
 32%|███▏      | 284/900 [01:18<02:15,  4.56it/s]
 32%|███▏      | 286/900 [01:19<02:46,  3.68it/s]
 32%|███▏      | 288/900 [01:19<02:34,  3.97it/s]
 32%|███▏      | 289/900 [01:20<02:41,  3.77it/s]
 32%|███▏      | 290/900 [01:21<03:35,  2.83it/s]
 32%|███▏      | 292/900 [01:21<03:15,  3.11it/s]
 33%|███▎      | 293/900 [01:21<03:02,  3.32it/s]
 33%|███▎      | 294/900 [01:22<02:53,  3.49it/s]
 33%|███▎      | 295/900 [01:22<03:24,  2.95it/s]
 33%|███▎      | 296/900 [01:22<03:30,  2.86it/s]
 33%|███▎      | 298/900 [01:23<03:00,  3.34it/s]
 33%|███▎      | 299/900 [01:23<03:13,  3.11it/s]
 33%|███▎      | 300/900 [01:24<04:44,  2.11it/s]
 33%|███▎      | 301/900 [01:25<04:12,  2.37it/s]
 34%|███▎      | 302/900 [01:25<03:57,  2.52it/s]
 35%|███▌      | 318/900 [01:25<00:38, 15.29it/s]
 39%|███▉      | 354/900 [01:25<00:11, 49.14it/s]
 43%|████▎     | 385/900 [01:33<01:03,  8.08it/s]
 44%|████▎     | 392/900 [01:38<01:42,  4.93it/s]
 44%|████▍     | 397/900 [01:40<02:00,  4.18it/s]
 45%|████▍     | 401/900 [01:41<01:58,  4.21it/s]
 45%|████▍     | 404/900 [01:43<02:14,  3.68it/s]
 45%|████▌     | 406/900 [01:44<02:31,  3.26it/s]
 45%|████▌     | 408/900 [01:44<02:19,  3.53it/s]
 46%|████▌     | 411/900 [01:44<02:01,  4.02it/s]
 46%|████▌     | 413/900 [01:45<01:53,  4.30it/s]
 46%|████▌     | 414/900 [01:45<01:51,  4.36it/s]
 46%|████▌     | 415/900 [01:46<02:27,  3.28it/s]
 46%|████▌     | 416/900 [01:46<02:33,  3.16it/s]
 46%|████▋     | 417/900 [01:46<02:25,  3.32it/s]
 47%|████▋     | 419/900 [01:47<03:01,  2.65it/s]
 47%|████▋     | 421/900 [01:48<02:19,  3.44it/s]
 47%|████▋     | 422/900 [01:49<03:16,  2.43it/s]
 47%|████▋     | 424/900 [01:50<03:24,  2.33it/s]
 47%|████▋     | 425/900 [01:50<03:26,  2.30it/s]
 47%|████▋     | 426/900 [01:50<03:01,  2.61it/s]
 48%|████▊     | 428/900 [01:51<02:23,  3.28it/s]
 48%|████▊     | 430/900 [01:51<02:01,  3.86it/s]
 48%|████▊     | 431/900 [01:51<02:32,  3.08it/s]
 48%|████▊     | 432/900 [01:52<02:40,  2.91it/s]
 48%|████▊     | 433/900 [01:52<02:37,  2.96it/s]
 48%|████▊     | 434/900 [01:52<02:22,  3.28it/s]
 48%|████▊     | 435/900 [01:53<02:31,  3.07it/s]
 48%|████▊     | 436/900 [01:54<03:51,  2.01it/s]
 49%|████▊     | 437/900 [01:54<03:17,  2.35it/s]
