Preparing samples...
Loading datasets for 30 subjects...
Saving images to: /root/.cache/mmmu/images
Processing samples...
Skipping 0 samples with large images, 0.0% of dataset
Samples have been prepared
Benchmark time: 193.1638978999108
answers saved to: ./answer_sglang.json
Evaluating...
answers saved to: ./answer_sglang.json
{'Accounting': {'acc': 0.333, 'num': 30},
 'Agriculture': {'acc': 0.3, 'num': 30},
 'Architecture_and_Engineering': {'acc': 0.333, 'num': 30},
 'Art': {'acc': 0.5, 'num': 30},
 'Art_Theory': {'acc': 0.5, 'num': 30},
 'Basic_Medical_Science': {'acc': 0.367, 'num': 30},
 'Biology': {'acc': 0.267, 'num': 30},
 'Chemistry': {'acc': 0.267, 'num': 30},
 'Clinical_Medicine': {'acc': 0.233, 'num': 30},
 'Computer_Science': {'acc': 0.233, 'num': 30},
 'Design': {'acc': 0.633, 'num': 30},
 'Diagnostics_and_Laboratory_Medicine': {'acc': 0.233, 'num': 30},
 'Economics': {'acc': 0.367, 'num': 30},
 'Electronics': {'acc': 0.2, 'num': 30},
 'Energy_and_Power': {'acc': 0.267, 'num': 30},
 'Finance': {'acc': 0.167, 'num': 30},
 'Geography': {'acc': 0.3, 'num': 30},
 'History': {'acc': 0.3, 'num': 30},
 'Literature': {'acc': 0.633, 'num': 30},
 'Manage': {'acc': 0.3, 'num': 30},
 'Marketing': {'acc': 0.4, 'num': 30},
 'Materials': {'acc': 0.4, 'num': 30},
 'Math': {'acc': 0.367, 'num': 30},
 'Mechanical_Engineering': {'acc': 0.4, 'num': 30},
 'Music': {'acc': 0.3, 'num': 30},
 'Overall': {'acc': 0.351, 'num': 900},
 'Overall-Art and Design': {'acc': 0.483, 'num': 120},
 'Overall-Business': {'acc': 0.313, 'num': 150},
 'Overall-Health and Medicine': {'acc': 0.313, 'num': 150},
 'Overall-Humanities and Social Science': {'acc': 0.433, 'num': 120},
 'Overall-Science': {'acc': 0.32, 'num': 150},
 'Overall-Tech and Engineering': {'acc': 0.305, 'num': 210},
 'Pharmacy': {'acc': 0.433, 'num': 30},
 'Physics': {'acc': 0.4, 'num': 30},
 'Psychology': {'acc': 0.367, 'num': 30},
 'Public_Health': {'acc': 0.3, 'num': 30},
 'Sociology': {'acc': 0.433, 'num': 30}}
eval out saved to ./val_sglang.json
Overall accuracy: 0.351

----STDERR----

Loading datasets:   0%|          | 0/30 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Generating test split:   0%|          | 0/380 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 380/380 [00:00<00:00, 22254.68 examples/s]

Loading datasets:  17%|█▋        | 5/30 [00:20<00:50,  2.02s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1502.47 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 6573.46 examples/s]


Generating test split:   0%|          | 0/245 [00:00<?, ? examples/s][A


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A[A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1397.64 examples/s]



Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A[A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10815.64 examples/s]



Generating test split:   0%|          | 0/267 [00:00<?, ? examples/s][A[A
Generating test split: 100%|██████████| 245/245 [00:00<00:00, 11032.19 examples/s]

Loading datasets:  20%|██        | 6/30 [00:21<00:39,  1.66s/it]
Generating test split: 100%|██████████| 267/267 [00:00<00:00, 25831.64 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1656.13 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11915.64 examples/s]


Generating test split:   0%|          | 0/430 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 430/430 [00:00<00:00, 21879.79 examples/s]

Loading datasets:  27%|██▋       | 8/30 [00:21<00:20,  1.07it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1378.89 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 12761.57 examples/s]


Generating test split:   0%|          | 0/551 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 551/551 [00:00<00:00, 49778.39 examples/s]

Loading datasets:  30%|███       | 9/30 [00:21<00:15,  1.31it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1589.96 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9259.63 examples/s]


Generating test split:   0%|          | 0/355 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 355/355 [00:00<00:00, 35318.15 examples/s]

Loading datasets:  33%|███▎      | 10/30 [00:22<00:13,  1.50it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1464.90 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2982.23 examples/s]


Generating test split:   0%|          | 0/325 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 325/325 [00:00<00:00, 4292.50 examples/s]

Loading datasets:  37%|███▋      | 11/30 [00:22<00:09,  1.96it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1468.70 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9372.05 examples/s]


Generating test split:   0%|          | 0/603 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 603/603 [00:00<00:00, 17082.84 examples/s]

Loading datasets:  40%|████      | 12/30 [00:22<00:08,  2.08it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1558.18 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 3620.77 examples/s]


Generating test split:   0%|          | 0/334 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 334/334 [00:00<00:00, 3343.86 examples/s]

Loading datasets:  43%|████▎     | 13/30 [00:22<00:07,  2.18it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1118.96 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 11839.40 examples/s]


Generating test split:   0%|          | 0/256 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 256/256 [00:00<00:00, 45728.11 examples/s]

Loading datasets:  47%|████▋     | 14/30 [00:23<00:05,  2.75it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 952.86 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8015.61 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 29193.27 examples/s]

Loading datasets:  50%|█████     | 15/30 [00:23<00:07,  2.04it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1882.20 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 9221.63 examples/s]


Generating test split:   0%|          | 0/371 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 371/371 [00:00<00:00, 18116.15 examples/s]

Loading datasets:  53%|█████▎    | 16/30 [00:24<00:07,  1.89it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1654.17 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7274.62 examples/s]


Generating test split:   0%|          | 0/326 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 326/326 [00:00<00:00, 9175.51 examples/s]

Loading datasets:  57%|█████▋    | 17/30 [00:24<00:06,  2.06it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1276.18 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 5645.09 examples/s]


Generating test split:   0%|          | 0/565 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 565/565 [00:00<00:00, 5878.57 examples/s]

Loading datasets:  60%|██████    | 18/30 [00:25<00:06,  1.87it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 565.79 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1188.46 examples/s]


Generating test split:   0%|          | 0/231 [00:00<?, ? examples/s][A

Generating test split:  42%|████▏     | 97/231 [00:00<00:00, 872.41 examples/s][A
Generating test split: 100%|██████████| 231/231 [00:00<00:00, 1326.92 examples/s]

Loading datasets:  63%|██████▎   | 19/30 [00:27<00:08,  1.24it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1628.35 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 10068.75 examples/s]


Generating test split:   0%|          | 0/458 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 458/458 [00:00<00:00, 31864.63 examples/s]

Loading datasets:  67%|██████▋   | 20/30 [00:27<00:06,  1.62it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1607.63 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4666.39 examples/s]


Generating test split:   0%|          | 0/345 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 345/345 [00:00<00:00, 4588.90 examples/s]

Loading datasets:  70%|███████   | 21/30 [00:27<00:04,  1.89it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 657.60 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2260.80 examples/s]


Generating test split:   0%|          | 0/112 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 112/112 [00:00<00:00, 2361.73 examples/s]

Loading datasets:  73%|███████▎  | 22/30 [00:28<00:04,  1.83it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1546.00 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 7123.88 examples/s]


Generating test split:   0%|          | 0/305 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 305/305 [00:00<00:00, 7341.87 examples/s]


Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1532.89 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 8932.92 examples/s]


Generating test split:   0%|          | 0/509 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 509/509 [00:00<00:00, 24655.85 examples/s]

Loading datasets:  80%|████████  | 24/30 [00:28<00:02,  2.63it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1185.64 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 4592.97 examples/s]


Generating test split:   0%|          | 0/278 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 278/278 [00:00<00:00, 3225.08 examples/s]

Loading datasets:  83%|████████▎ | 25/30 [00:28<00:01,  2.67it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 502.37 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 451.17 examples/s]


Generating test split:   0%|          | 0/162 [00:00<?, ? examples/s][A

Generating test split:  64%|██████▎   | 103/162 [00:00<00:00, 904.93 examples/s][A
Generating test split: 100%|██████████| 162/162 [00:00<00:00, 1165.05 examples/s]

Loading datasets:  87%|████████▋ | 26/30 [00:29<00:02,  1.90it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 1137.90 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 2479.98 examples/s]


Generating test split:   0%|          | 0/169 [00:00<?, ? examples/s][A
Generating test split: 100%|██████████| 169/169 [00:00<00:00, 3090.46 examples/s]

Loading datasets:  90%|█████████ | 27/30 [00:30<00:01,  2.12it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 730.10 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 1931.88 examples/s]


Generating test split:   0%|          | 0/252 [00:00<?, ? examples/s][A

Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2251.82 examples/s][A
Generating test split: 100%|██████████| 252/252 [00:00<00:00, 2245.89 examples/s]

Loading datasets:  93%|█████████▎| 28/30 [00:31<00:01,  1.26it/s]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 538.66 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 952.55 examples/s]


Generating test split:   0%|          | 0/429 [00:00<?, ? examples/s][A

Generating test split:  50%|█████     | 215/429 [00:00<00:00, 1413.92 examples/s][A

Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1385.93 examples/s][A
Generating test split: 100%|██████████| 429/429 [00:00<00:00, 1349.05 examples/s]

Loading datasets:  97%|█████████▋| 29/30 [00:34<00:01,  1.29s/it]

Generating dev split:   0%|          | 0/5 [00:00<?, ? examples/s][A
Generating dev split: 100%|██████████| 5/5 [00:00<00:00, 262.68 examples/s]


Generating validation split:   0%|          | 0/30 [00:00<?, ? examples/s][A

Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 298.82 examples/s][A
Generating validation split: 100%|██████████| 30/30 [00:00<00:00, 297.91 examples/s]


Generating test split:   0%|          | 0/287 [00:00<?, ? examples/s][A

Generating test split:  29%|██▉       | 84/287 [00:00<00:00, 507.41 examples/s][A

Generating test split:  60%|█████▉    | 172/287 [00:00<00:00, 534.96 examples/s][A

Generating test split:  99%|█████████▉| 284/287 [00:00<00:00, 669.40 examples/s][A
Generating test split: 100%|██████████| 287/287 [00:00<00:00, 609.46 examples/s]

Loading datasets: 100%|██████████| 30/30 [00:41<00:00,  3.06s/it]
Loading datasets: 100%|██████████| 30/30 [00:41<00:00,  1.39s/it]

Processing samples:   0%|          | 0/900 [00:00<?, ?it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2749.32it/s]
Processing samples: 100%|██████████| 900/900 [00:00<00:00, 2748.09it/s]

  0%|          | 0/900 [00:00<?, ?it/s]
  0%|          | 1/900 [00:23<5:46:59, 23.16s/it]
  0%|          | 2/900 [00:25<2:44:56, 11.02s/it]
  0%|          | 3/900 [00:26<1:37:13,  6.50s/it]
  0%|          | 4/900 [00:27<1:02:11,  4.17s/it]
  1%|          | 6/900 [00:28<32:01,  2.15s/it]  
  1%|          | 7/900 [00:28<25:15,  1.70s/it]
  1%|          | 9/900 [00:29<16:02,  1.08s/it]
  1%|          | 10/900 [00:30<17:08,  1.16s/it]
  1%|▏         | 12/900 [00:31<13:55,  1.06it/s]
  1%|▏         | 13/900 [00:32<12:28,  1.18it/s]
  2%|▏         | 14/900 [00:32<10:41,  1.38it/s]
  2%|▏         | 15/900 [00:32<08:34,  1.72it/s]
  2%|▏         | 16/900 [00:33<08:23,  1.76it/s]
  2%|▏         | 17/900 [00:34<11:18,  1.30it/s]
  5%|▌         | 49/900 [00:34<00:52, 16.15it/s]
  9%|▉         | 81/900 [00:35<00:29, 28.21it/s]
 14%|█▍        | 129/900 [00:43<01:25,  9.06it/s]
 15%|█▍        | 133/900 [00:51<02:46,  4.60it/s]
 15%|█▌        | 136/900 [00:52<02:53,  4.41it/s]
 15%|█▌        | 139/900 [00:52<02:51,  4.44it/s]
 16%|█▌        | 141/900 [00:53<03:10,  3.98it/s]
 16%|█▌        | 143/900 [00:54<03:03,  4.13it/s]
 16%|█▌        | 145/900 [00:55<03:43,  3.38it/s]
 16%|█▌        | 146/900 [00:55<03:42,  3.38it/s]
 16%|█▋        | 147/900 [00:56<03:39,  3.42it/s]
 17%|█▋        | 149/900 [00:56<03:04,  4.07it/s]
 17%|█▋        | 150/900 [00:57<03:46,  3.31it/s]
 17%|█▋        | 151/900 [00:57<04:21,  2.86it/s]
 17%|█▋        | 152/900 [00:58<05:04,  2.46it/s]
 17%|█▋        | 153/900 [00:59<05:56,  2.10it/s]
 17%|█▋        | 154/900 [00:59<05:46,  2.15it/s]
 17%|█▋        | 156/900 [01:00<05:14,  2.36it/s]
 17%|█▋        | 157/900 [01:00<05:03,  2.45it/s]
 19%|█▉        | 173/900 [01:00<01:02, 11.68it/s]
 29%|██▊       | 257/900 [01:05<00:38, 16.66it/s]
 29%|██▉       | 259/900 [01:11<01:28,  7.27it/s]
 29%|██▉       | 261/900 [01:13<01:56,  5.48it/s]
 29%|██▉       | 262/900 [01:14<02:10,  4.89it/s]
 29%|██▉       | 263/900 [01:15<02:18,  4.61it/s]
 29%|██▉       | 264/900 [01:15<02:17,  4.62it/s]
 30%|██▉       | 266/900 [01:16<02:29,  4.23it/s]
 30%|██▉       | 267/900 [01:16<02:29,  4.23it/s]
 30%|███       | 271/900 [01:17<02:59,  3.50it/s]
 30%|███       | 272/900 [01:18<02:53,  3.61it/s]
 30%|███       | 273/900 [01:18<02:51,  3.65it/s]
 31%|███       | 276/900 [01:19<02:37,  3.95it/s]
 31%|███       | 277/900 [01:19<03:24,  3.05it/s]
 31%|███       | 278/900 [01:20<03:16,  3.16it/s]
 31%|███       | 279/900 [01:20<02:59,  3.47it/s]
 31%|███       | 280/900 [01:20<02:48,  3.68it/s]
 31%|███▏      | 283/900 [01:21<03:24,  3.01it/s]
 32%|███▏      | 284/900 [01:21<03:16,  3.13it/s]
 32%|███▏      | 285/900 [01:22<03:28,  2.96it/s]
 32%|███▏      | 286/900 [01:22<03:12,  3.19it/s]
 32%|███▏      | 287/900 [01:23<04:15,  2.40it/s]
 32%|███▏      | 288/900 [01:23<04:12,  2.42it/s]
 32%|███▏      | 290/900 [01:24<03:05,  3.29it/s]
 32%|███▏      | 291/900 [01:24<02:45,  3.69it/s]
 32%|███▏      | 292/900 [01:24<02:50,  3.58it/s]
 33%|███▎      | 293/900 [01:24<02:39,  3.82it/s]
 33%|███▎      | 295/900 [01:26<05:20,  1.89it/s]
 35%|███▍      | 312/900 [01:26<00:53, 10.92it/s]
 36%|███▋      | 328/900 [01:26<00:26, 21.50it/s]
 43%|████▎     | 386/900 [01:32<00:41, 12.41it/s]
 44%|████▎     | 392/900 [01:38<01:25,  5.94it/s]
 44%|████▍     | 396/900 [01:39<01:36,  5.23it/s]
 44%|████▍     | 399/900 [01:40<01:43,  4.85it/s]
 45%|████▍     | 402/900 [01:41<01:38,  5.05it/s]
 45%|████▍     | 404/900 [01:41<01:40,  4.93it/s]
 45%|████▌     | 406/900 [01:42<01:54,  4.30it/s]
 45%|████▌     | 407/900 [01:42<01:52,  4.40it/s]
 45%|████▌     | 408/900 [01:43<01:52,  4.39it/s]
 46%|████▌     | 410/900 [01:43<01:58,  4.13it/s]
 46%|████▌     | 412/900 [01:44<02:25,  3.36it/s]
 46%|████▌     | 413/900 [01:44<02:20,  3.47it/s]
 46%|████▌     | 415/900 [01:45<02:01,  4.01it/s]
 46%|████▌     | 416/900 [01:45<01:59,  4.04it/s]
 47%|████▋     | 419/900 [01:46<02:16,  3.52it/s]
 47%|████▋     | 420/900 [01:46<02:09,  3.70it/s]
 47%|████▋     | 421/900 [01:46<02:05,  3.81it/s]
 47%|████▋     | 422/900 [01:47<02:20,  3.41it/s]
 47%|████▋     | 423/900 [01:47<02:14,  3.54it/s]
 47%|████▋     | 424/900 [01:47<02:43,  2.91it/s]
 47%|████▋     | 425/900 [01:48<02:43,  2.91it/s]
 47%|████▋     | 426/900 [01:48<02:55,  2.70it/s]
 48%|████▊     | 428/900 [01:49<02:13,  3.53it/s]
 48%|████▊     | 430/900 [01:49<01:55,  4.05it/s]
 48%|████▊     | 431/900 [01:49<01:53,  4.12it/s]
 48%|████▊     | 432/900 [01:50<02:59,  2.61it/s]
 48%|████▊     | 433/900 [01:50<02:32,  3.05it/s]
 48%|████▊     | 435/900 [01:51<02:12,  3.50it/s]
 48%|████▊     | 436/900 [01:51<02:33,  3.02it/s]
 50%|█████     | 452/900 [01:51<00:28, 15.80it/s]
 54%|█████▍    | 488/900 [01:52<00:08, 49.52it/s]
